 Question,Long Answer,Short Answer,Source,Prompts,QnaId,ContextNeeded,InCourse
lesson 2,"We begin lesson 2 with revision of lesson 1.\n The stages of SAT are: \n Stage 1 is ""Introduction to attachment theory"" and SAT \n Stage 2 is  ""Connecting Compassionately with the Child"" \n Stage 3 is ""Creating an affectional bond with the Child"". \n The fourth stage is ""Developmental training for the child"". Last lesson, we completed stage 1, and stage 2 by learning to have compassion for the Child - regardless of the underlying emotions present, be they positive or negative in nature. \n This lesson we will work on stage 3 by establishing an imaginative but affectionate relationship with the Child. ",,Editorial,"[{""DisplayOrder"":1,""QnaId"":313,""DisplayText"":""Stage 3""}]",312,FALSE,TRUE
Stage 3,"Stage Three: Creating an affectional bond with the Child. \n The goal is that by forming an imaginative but loving relationship with the Child, we create an emotional connection mirroring that which a good parent has for their child.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":315,""DisplayText"":""Exercise 3""}]",313,FALSE,TRUE
exercise 3,"Exercise 3: Singing a song of affection. \n Print copies of the happy photo to display at home, work or in your wallet. \n You can even consider setting it as your phone or laptop background. \n Then, select a jolly, lyrical song that you cherish which invokes feelings of warmth and affection. \n Learn the song by heart, and sing it as often as you can in your daily routine. \n  While looking at the happy photo, sing the song, as a way to establish a deep emotional bond with the child in your mind \n Start quietly; then, over time, allow your voice to become louder while using more of your body (for example, shaking your shoulders, hands, and lifting your eyebrows up and down). \n While doing this, imagine that you are have a loving, passionate dialogue and are joyfully dancing and playing with the child as a parent would.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":318,""DisplayText"":""Love and affection for the Child""}, {""DisplayOrder"":2,""QnaId"":316,""DisplayText"":""Examples of songs""}]",315,FALSE,TRUE
Examples of songs,"An example of a song could be ""My Heart Will Go On"" by Celine Dion. \n I will now play an exerpt. ",,Editorial,"[{""DisplayOrder"":1,""QnaId"":318,""DisplayText"":""Falling in love with the child""},{""DisplayOrder"":2,""QnaId"":317,""DisplayText"":""Another example of songs""}]",316,FALSE,TRUE
Another example of songs,"Another example could be a song you liked during your childhood.\n For example, ""Under the Sea"" from the Little Mermaid.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":318,""DisplayText"":""Next""}]",317,FALSE,TRUE
Why do we sing to the Child,"By singing to the Child, we release dopamine in the brain's reward center. \n This leads to hope and motivation for carrying out the self-attachment protocols. \n The secretion of dopamine also leads to the secretion of serotonin, oxytocin, and vasopressin, which prepare us for active loving and taking care of the child.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":319,""DisplayText"":""Next""}]",318,FALSE,TRUE
Speaking out loud to the child,"In childhood, speaking out loud to oneself contributes to emotional and cognitive development, as well as the establishment of internal dialogue. \n Unfortunately, this practice is often discouraged both at school and home. \n Research demonstrates that adults who vocalize their thoughts when solving problems tend to be more successful. Thus, speaking out loud to oneself, whether as a child or an adult, signifies emotional and cognitive maturity rather than madness.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":320,""DisplayText"":""exercise 4""}]",319,FALSE,TRUE
exercise 4,"Exercise 4 aims to express love and care for the child. While genuinely smiling at the happy photo or avatar, loudly say to your child: ""I passionately love you and deeply care for you.""",,Editorial,"isplayOrder"":1,""QnaId"":321,""DisplayText"":""exercise 5""}]",320,FALSE,TRUE
exercise 5,"Exercise 5: Pledging to care and support our child \n Humans have an innate and fundamental capcacity to care for a child. \n In this exercise, we start to care for the child as our own child. We attribute and project our own emotions to the child. \n In aspecial time and place, as our adult self, we begin with a pledge. \n After reading the pledge silently, we confidently pledge out loud the following: ""From now on, I will seek to act as a devoted and loving parent to this child, consistently and wholeheartedly care for them in every way possible. I will do everything I can to support the health and emotional growth of this child.""",,Editorial,"[{""DisplayOrder"":1,""QnaId"":322,""DisplayText"":""Next""}]",321,FALSE,TRUE
Homework,"Congratulations on completing lesson 2! \n Remember to practise exercise 3 followed by exercise 4, you can also revisit exercises 1 and 2 if you think you need to. \n In carefully planned sessions, you can practise exercise 5.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":215,""DisplayText"":""getting your feedback""}]",322,TRUE,TRUE
lesson 3,"In lesson 3, we will maintain our passionate loving relationship with the child and create an attachment to nature. ",,Editorial,"[{""DisplayOrder"":1,""QnaId"":324,""DisplayText"":""importance of house building""}]",323,FALSE,TRUE
Importance of house building,"House building is a key activity of humans as it provides physical protection, safety and security. \n It is also one of the first games that children play. \n Building a dream house is also a symbol of building a new self. \n The objective of SAT is to empower the individual through their own actions and creativity in building a new house.\n\n Every stage in building the new house reflects the progress made in repairing the inner world and developing a new orientation in life as the new house is an artistic recreation of our emotional world. ",,Editorial,"[{""DisplayOrder"":1,""QnaId"":325,""DisplayText"":""exercise 6""}]",324,FALSE,TRUE
exercise 6,"Exercise 6's objective is to restore our emotional world after our pledge \n Through imagination or by drawing, imagine our emotional world as a house with some derelict areas that have fallen into disrepair which you will fully renovate.\n Then imagine a new house with bright and sunny rooms and a garden, imagine carrying out self-attachment exercises in this environment .\n For instance, we could be singing happy love songs in one of the rooms of this house. \n This new home is intended to provide a safe haven at times of distress for the child.\n The unrestored basement of the new house is the remnant of the derelict house and is still awash our negative emotions including fear, rage, and despair.\n When we suffer from these negative emotions we imagine that our child is trapped in this basement and they gradually learn to open the door of the basement, walk out and enter the bright rooms: reuniting with the adult.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":326,""DisplayText"":""Exercise 7a""}]",325,FALSE,TRUE
exercise 7a,"Exercise 7a: Maintaining a loving relationship with the child. \n Choose some short phrase, for example ""You are my beautiful child"" or ""My love"". \n Say it slowly, out loud for at least 5 times as you look at the happy photo or avatar. \n Then sing your favourite chosen love song at least 5 times. \n As before, in exercise 3, increase your volume and begin to use your whole body.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":327,""DisplayText"":""exercise 7b""}]",326,FALSE,TRUE
exercise 7b,"Exercise 7b: creating zest for life. \n While looking in a mirror, imagine your reflection to be the child, then begin to loudly sing your previously chosen song. As previously, increase your volume and begin to use your whole body. \n
If you find it difficult to imagine the child in the mirror, put the “Happy” photo of your child in front of the mirror and do the exercise instead. \n Do this twice now and then as many times as possible in different circumstances
during the day, such as while on the way to work or while cooking dinner, to integrate them into your new life. \n When singing your favourite song becomes a habit of yours, it becomes an effective tool for enhancing positive effects and managing emotions. ",,,"[{""DisplayOrder"":1,""QnaId"":328,""DisplayText"":""exercise 8""}]",327,FALSE,TRUE
exercise 8,"Exercise 8: creating a bond with nature \n Attachment to nature is an effective way to increase joy and reduce negative emotions.\n On a day when you have enough time, head to a park or forest.\n Find a tree that captures your attention and take at least 5 minutes to appreciate its beauty in a new way. \n Challenge yourself to notice details that you may have overlooked before, such as the intricate patterns of the leaves or the way the sunlight filters through the branches. Allow yourself to fully immerse in the experience of admiring the tree with a sense of wonder and appreciation.\n We repeat this process continuously and with other aspects of nature, such as the sky, stars, plants, birds, rivers, sea, or your favourite animal, until you feel you have developed an attachment to nature that helps regulate your emotions. \n Achieving this will help you want to spend more time in nature after this course ends.",,,"[{""DisplayOrder"":1,""QnaId"":329,""DisplayText"":""Next""}]",328,FALSE,TRUE
Homework,"We are now at the end of lesson 3, well done! Remember to  practise exercise 6, exercise 7a and exercise 7b at least 5 minutes per exercise, twice a day. Practise exercise 8 when going to a park or natural area. ",,,"[{""DisplayOrder"":1,""QnaId"":215,""DisplayText"":""getting your feedback""}]",329,TRUE,TRUE
lesson 4,"In lesson 4, your Adult takes action to console your Child for current or past pains",,,"[{""DisplayOrder"":1,""QnaId"":331,""DisplayText"":""processing current negative emotions""}]",330,FALSE,TRUE
Proccessing current negative emotions,"The exercises in this lesson are meant to process your current negative emotions such as anger, rage, fear, anxiety or depression‚ in relation to family, friends, work, or society.\n With closed eyes, we imagine the unhappy photo or avatar, which represents the Child, and project our negative emotions to it.\n By doing this, we can then connect to the Adult who is now responsible to attend to the problems of the child, supporting and modulating the child's negative emotions.",,,"[{""DisplayOrder"":1,""QnaId"":332,""DisplayText"":""exercise 9""}]",331,FALSE,TRUE
exercise 9,"Exercise 9: overcoming current negative emotions. \n Close your eyes and visualize an unhappy photo or avatar that represents the child. Project your emotions onto this image and reassure the child in a kind and loving tone.\n While you speak to the child, give yourself a gentle face, neck, and head massage to promote relaxation and release any tension you may be holding. \n Repeat these steps until you feel calm and comforted",,,"[{""DisplayOrder"":1,""QnaId"":332,""DisplayText"":""reprocessing painful childhood events""}]",332,FALSE,TRUE
Reprocessing painful childhood events,"Reprocessing painful childhood events \n Childhood trauma can lead to strong patterns of emotional and behavioural problems.\n Sigmund Freud discovered this and labelled its dramatic consequence , ""repetition compulsion"" - repeating a traumatic event to gain control over it.\n At this stage, you can start reprocessing your traumas, starting with less severe cases, challenging negative scenarios and replacing them with positive patterns with optimal endings. \n This is repeated for different types of traumatic patterns and scenarios, gradually including more severe cases, until they are all effectively processed emotionally, and new mental patterns are experienced in relation to them. ",,Editorial,"[{""DisplayOrder"":1,""QnaId"":334,""DisplayText"":""Exercise 10""}]",333,FALSE,TRUE
exercise 10,"Overcoming past pain is the aim for exercise 10. \n With closed eyes, recall a painful childhood episode, such as an emotional or physical abuse or loss of a significant figure, with all the details you still remember. \n Associate the face of the child you were in the past with the unhappy photo or avatar \n As you remember the past emotions, such as, helplessness, humiliation and rage, with closed eyes, imagine your adult self intervening in the scene as a good parent. \n Visualize your adult self approaching your child quickly, like any good parent would do in response to their child's distress. Reassure the child loudly and confidently that you have come to save them, by standing up with a strong voice to any perpetrator who might be causing harm. For example, you could say ""Why are you hitting my child?"" or ""My darling, I will not let them hurt you anymore."" \n As you reassure your child, imagine giving them a warm and comforting hug. Meanwhile, give yourself a massage on your face, neck or head. \n Repeat this process until you feel comforted and soothed, and have acquired a sense of mastery over the trauma. ",,,"[{""DisplayOrder"":1,""QnaId"":335,""DisplayText"":""Next""}]",334,FALSE,TRUE
Homework,"We have now completed lesson 4! \n Please remember to practise exercises 9 and 10, twice a day. \n Complete exercise 9 on days 1 to 3 and exercise 10 on days 4 to 7 of the week. ",,,"[{""DisplayOrder"":1,""QnaId"":215,""DisplayText"":""getting your feedback""}]",335,TRUE,TRUE
lesson 5,"In the past 4 lessons, our adult self has taken the active role in our adult-child relationship. In lesson 5, our child will take center stage!",,,"[{""DisplayOrder"":1,""QnaId"":337, ""DisplayText"":""importance of laughter""}]",336,FALSE,TRUE
importance of laughter,"Laughter plays an important role in our lives. We learn from our family and cultural experiences when it's appropriate to laugh and when to refrain. \n While negative emotions are a natural response to upsetting situations, it is possible to view things in a more positive light over time with a sense of humour and joy. \n We can learn to laugh as a mental intentional exercise, without a funny stimulus being present",,,"[{""DisplayOrder"":1,""QnaId"":338, ""DisplayText"":""why do we laugh""}]",337,FALSE,TRUE
Why do we laugh,"There are five theories that attempt to explain why we laugh:
\n The first theory, is called the Superiority theory. According to Plato, we laugh when we ridicule, mock, or look down on someone, experiencing a sudden sense of superiority.
\n The second theory, is called the Incongruity Theory. This theory, proposed by Kant, suggests that we laugh when something non-serious violates our common belief, such as the punchline of a joke.
\n The third theory, is called the Relief theory. Freud proposed this theory, which suggests that laughter is caused by the release of accumulated nervous energy, which can occur when we hear repressed or forbidden jokes.
\n The fourth theory , is called the Perspective theory, which was proposed by Chaplin. This theory suggests that life can be seen as a tragedy in close-up, but a comedy in long-shot.
Finally, the Evolutionary theory suggests that laughter is developed in higher apes as a play signal and has been retained as a way of communicating pleasure and social bonding in humans.",,,"[{""DisplayOrder"":1,""QnaId"":339, ""DisplayText"":""laughter as a self-regulation tool for emotions""}]",338,FALSE,TRUE
Laughter as a emotion self-regulation tool,"Laughter has been shown to be an effective antidote to anxiety and depression because it triggers the secretion of dopamine and serotonin, which are euphoric neurotransmitters that can improve our mood and overall sense of well-being. \n
Belly laughter, also known as Duchenne laughter, is the type of laughter that involves the spontaneous and involuntary contraction of muscles around the eyes and mouth. \n
Genuine or belly laughter is non-hostile, and it's important to be mindful of any contempt that we might feel towards ourselves or others during laughter. If we sense any contempt, we can practice neutralizing it by converting it into surprise or simple amusement, which can help us experience non-hostile laughter.",,,"[{""DisplayOrder"":1,""QnaId"":340, ""DisplayText"":""Exercise 11""}]",339,FALSE,TRUE
exercise 11: processing current negative emotions,"Just as negative patterns can cause rigidity in our mind and behaviour, they can also lead to rigidity in the muscles of our face and body. This can limit the emotional development of the Child and the ability to laugh. \n Exercise 11 practises muscle relaxation and a playful face for intentional laughing.  \n Early in the morning, act like a child: loosen up facial and body muscles, open up your mouth and sing your favourite song while laughing (or at least smiling) on your own.",,,"[{""DisplayOrder"":1,""QnaId"":341, ""DisplayText"":""Exercise 12""}]",340,FALSE,TRUE
exercise 12,"Exercise 12 is all about practicing Victory Laughter on our own, using the Superiority Theory and Incongruity Theory of laughter.\n First, choose something you've accomplished recently, whether it's finishing household chores, having a good conversation with a neighbor, or reading an interesting article. \n Next, start by smiling at the thought of your accomplishment, and once you are comfortable, begin to laugh for at least 10 seconds.",,,"[{""DisplayOrder"":1,""QnaId"":342, ""DisplayText"":""Exercise 13""}]",341,FALSE,TRUE
exercise 13,"Exercise 13 involves Laughing with our Childhood Self using the Superiority Theory , Incongruity Theory , and Evolutionary Theory  of laughter. Simply look at the happy childhood photo or avatar, smile, and then laugh for at least 10 seconds. Repeat this process at least three times.",,,"[{""DisplayOrder"":1,""QnaId"":343, ""DisplayText"":""Exercise 14""}]",342,FALSE,TRUE
exercise 14,"Exercise 14 involves practicing intentional laughter. \n To do the exercise, find a time when you're alone and open your mouth slightly, loosening your face muscles and raising your eyebrows. Then, slowly and continuously repeat one of the following tones: ""eh, eh, eh, eh,"" ""ah, ah, ah, ah,"" ""oh, oh, oh, oh,"" ""uh, uh, uh, uh,"" or ""ye, ye, ye, ye."" These tones use a minimum amount of energy and can help to trigger laughter. \n If you need a subject to laugh at, you can laugh at the silliness of the exercise! \n Once you get comfortable with this continuous intentional laughter, you can change it according to your personality and style.",,,"[{""DisplayOrder"":1,""QnaId"":344, ""DisplayText"":""Next""}]",343,FALSE,TRUE
Homework,"Well done on completing lesson 5! \n Practise the following exercises twice a day: exercise 11 for at least 5 minutes, exercise 13 for 2 minutes and exercise 14 for 5 minutes. Exercise 12 is to be practised during the day after accomplishing any routine work. ",,,"[{""DisplayOrder"":1,""QnaId"":215,""DisplayText"":""getting your feedback""}]",344,TRUE,TRUE
Lesson 6,"Last lesson, our child took center stage and we started to learn how to laugh intentionally. In lesson 6,  we practise to learn how to laugh off our upsets and setbacks. ",,,"[{""DisplayOrder"":1,""QnaId"":346,""DisplayText"":"" a perspective change in order to overcome negative emotions""}]",345,FALSE,TRUE
Perspective change for getting over negative emotions,"VASE\n Please direct your attention to the screen, where you will see an image of a black vase.\n When we're deeply stuck in patterns of negative emotion, it can feel like we're staring at this black vase, full of dark and negative emotions.\n The more we stare at it, the more we become overwhelmed, and drowned in its negativity. It's like seeing a glass half-empty instead of half-full. However, with some mental flexibility, we can switch our attention away from the black vase to the two white faces.",,,"[{""DisplayOrder"":1,""QnaId"":347,""DisplayText"":""Exercise 15""}]",346,FALSE,TRUE
Exercise 15,"VASE\n Exercise 15 is about learning to change your perspective. \n Please direct your attention to the screen where you will see an image of a black vase\n Start by staring at the black vase. \n Then once your perception changes and you see two white faces,  which represents the Adult and Child looking at each other, laugh or smile for one minute . \n Now stare at the two white faces, and laugh or smile for one minute the moment your perception changes and you see the black vase.  ",,,"[{""DisplayOrder"":1,""QnaId"":348,""DisplayText"":""laughing at your unpleasant events""}]",347,FALSE,TRUE
Laughing at your upsets and unpleasant events,"Remember that you have survived your upsets and setbacks, and they may have even been useful to you by placing you on a creative path or teaching you valuable lessons. However, you may still perceive them as ""painful"" and consider yourself a victim of these events. \n  But various theories of laughter, have shown that laughing at these events is helpful. For example, Chaplin said that ""life is a tragedy when seen in close-up, but a comedy in long-shot,"" and encouraged people to ""take your pain, and play with it!"" \n By laughing at these unpleasant events, you can use your superiority today as compared to the past. You should also use your playfulness because laughter is developed as a play signal according to the evolutionary theory. \n Remember that laughing at these events may go against your learned norms and values, but by recognizing harmless unexpected or amusing aspects, even in tough circumstances, you can develop a sense of humor and resilience.",,,"[{""DisplayOrder"":1,""QnaId"":349,""DisplayText"":""Exercise 16""}]",348,FALSE,TRUE
Exercise 16,"Exercise 16 is on learning to be playful about your sins. It involves 2 sub-exercises: \n Exercise 16 a: Visualize a painful event that took place in the recent past that you have struggled with, and despite its painfulness, try to see a positive impact it has had for you. Use any of the theories for humour to try to laugh or at least smile at the event.\n Exercise 16 b: Repeat the previous exercise for a childhood pain you have endured for a long time. ",,,"[{""DisplayOrder"":1,""QnaId"":350,""DisplayText"":""Next""}]",349,FALSE,TRUE
Homework,"We are at the end of lesson 6, great job! Remember to practise exercise 15 for at least 5 minutes twice a day, exercise 16 a for 10 minutes on days 1-4 of the week and exercise 16 b on days 5-7 of the week. ",,,"[{""DisplayOrder"":1,""QnaId"":215,""DisplayText"":""getting your feedback ""}]",350,TRUE,TRUE
lesson 7,"So far, you've been working on building a compassionate and affectionate bond between the Adult and the Child. Your Adult has been playing a supportive role by enhancing your Child's positive emotions with songs and laughter, as well as helping to reduce your Child's negative emotions due to current or past events.\n During your laughter exercises, your Child has also taken center stage. \n In lesson 7, the focus is on helping your Child to refrain from any anti-social behaviour. ",,,"[{""DisplayOrder"":1,""QnaId"":352,""DisplayText"":""rise of narcissism""}]",351,FALSE,TRUE
Rise of narcissism,"In recent years, we've seen a sharp increase in narcissistic tendencies in our society. This is due to various economic, social, and cultural factors that have normalized such traits, leading to negative effects on mental health.\n Some of these factors include the highly competitive nature of the corporate world and education, as well as the glorification of individuality and personal success by Hollywood and the media. We're bombarded with messages that idealize celebrities and body shapes, encouraging us to be ""winners"" and stand out from the crowd. Social media and the internet have also made it easier for individuals to promote themselves, further contributing to the normalization of narcissistic traits.\n Under these conditions, our adult seeks to socialize our childhood self",,,"[{""DisplayOrder"":1,""QnaId"":353,""DisplayText"":""socializing the child""}]",352,FALSE,TRUE
Socializing the child,"When socializing your child, your adult self recognises the detrimental impact of the economic, social and cultural factors in our ever more narcissistic societies. \n The adult slowly becomes aware of the narcissistic tendencies and anti-social feelings of the child, feelings, such as envy and greed.\n Acting out these negative emotions under stress, wastes a great deal of time and energy which could be used towards your goal. \n The antidote is a compassionate figure as a role model or attachment object.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":354,""DisplayText"":""exercise 17""}]",353,FALSE,TRUE
exercise 17,"This exercise aims to identify patterns of acting out personal resentments. \n Try to think about any pattern of narcissistic and anti-social feelings that your Child has acted out in your current or past relationships or any long-term resentment borne against someone. It could be feelings of envy, jealousy, greed, hatred, mistrust, malevolance, controlling or revengeful behaviour. \n Then try to recognize how much of your time and energy is consumed by this behaviour",,,"[{""DisplayOrder"":1,""QnaId"":355,""DisplayText"":""exercise 18""}]",354,FALSE,TRUE
exercise 18,"Exercise 18 is on planning more constructive actions. \n Take some time to think about how you can handle situations where you might be acting out anti-social feelings or holding onto personal resentment.\n Instead of denying these feelings,  try to reflect and contain them and avoid acting them out. Try to let go of the personal resentment. \n This may be challenging but it is necessary for emotional growth. Here, you are taking a critical but constructive stance towards your Child and are exercising foresighted compassion. \n Find a positive way of re-channeling the aggressive energy invoked by these feelings to productive work. You could try going for a run or talking to a friend, among other things. Ultimately, work towards your noble goal set in the beginning of the course. ",,,"[{""DisplayOrder"":1,""QnaId"":356,""DisplayText"":""exercise 19""}]",355,FALSE,TRUE
exercise 19,"Exercise 19 aims to find and bond with your compassionate role model \n Look in your past life for a compassionate figure who impressed you by being kind and helpful with some words of wisdom when you had problems. \n This could be an older relative or friend, a teacher, a counsellor, or someone else who was kind and wise.\n  Remember the emotions you went through when you received kindness and compassion ffrom this figure and how emotional this was for you.\n Focus your attention on this figure and adopt them as your idealised role model. \n  Create a platonic loving bond with this figure by singing aloud your favourite love song when remembering all your cherished memories of them. \n One particular song you may try is “I cannot help falling in love with you”.",,,"[{""DisplayOrder"":1,""QnaId"":357,""DisplayText"":""Next""}]",356,FALSE,TRUE
Homework,"Well done on completing lesson 7, we are almost at the end of the course! Remember to practise exercise 17, 18 and 19 for at least 5 minutes.",,,"[{""DisplayOrder"":1,""QnaId"":215,""DisplayText"":""getting your feedback""}]",357,TRUE,TRUE
lesson 8,"We will now begin lesson 8. Last week, you took some important steps to address your tendencies to act out anti-social feelings. You identified situations where you tend to do this and made a plan to refrain from acting on those feelings. You also explored ways to channel the strong emotions you experience in those situations into productive work, which can even help fuel your creativity towards achieving your goal.",,,"[{""DisplayOrder"":1,""QnaId"":359,""DisplayText"":""Next""}]",358,FALSE,TRUE
Your child is the source of your creativity,"In children with secure attachment, the capacity to think independently and reflect develops, allowing them to discover their true selves and unleash their creativity and spontaneity. \n However, without secure attachment, the child may develop a false self in response to the environment.\n As early as three or four years old, children can learn to imagine and recognize associations between things, which forms the basis for creativity. \n Spontaneous children have an open mind and aren't bound by rigid frameworks, but outside pressure can lead to rigidity and mental uniformity. \n SAT creates the capacity for secure attachment of the Child with the Adult.\n The reactivation of our Child can make us creative toward our goal.",,,"[{""DisplayOrder"":1,""QnaId"":360,""DisplayText"":""Next""}]",359,FALSE,TRUE
what traits are common in both very creative individuals and children?,"Creative individuals and children often possess paradoxical traits that are usually not found in most people. Here are ten such traits: \n Both energetic and calm (sublimating aggressive and sexual impulses to creativity) \n Both smart and naiive \n Both playful and disciplined \n Both fantasy oriented and reality oriented
\n Both extraverted and introverted \n Both humble and proud \n Both masculine and feminine \n Both rebellious and traditionalist \n Both passionate and objective \n Inclined both to suffer pain and enjoy life",,,"[{""DisplayOrder"":1,""QnaId"":361,""DisplayText"":""Exercise 20""}]",360,FALSE,TRUE
exercise 20,"Exercise 20 on updating our rigid beliefs to enhance creativity. \n Challenge your ingrained beliefs by questioning your usual ideological framework. This will help weaken one-sided thinking, promote spontaneity and thinking from various perspectives. Choose topics that you have strong opinions on and find interesting, such as social, political, or ethical issues like marriage, sexual orientation, or racism.\n For example, if you have a political viewpoint on a specific subject, try considering the topic from both a liberal and conservative, or from a left-wing and right-wing point of view. This will allow you to understand both sides of the issue and challenge your usual ideological framework without necessarily changing your viewpoint.\n Spend at least 5 minutes each day considering a different question or issue to expand your perspective and foster creativity.",,,"[{""DisplayOrder"":1,""QnaId"":362,""DisplayText"":""Next""}]",361,FALSE,TRUE
role models and their affirmations,"Role models,and inspirational quotes have a significant impact on the social and emotional growth of both children and adults. \n When our role models give us affirmations, it helps us to be patient and persistent in dealing with problems and challenges, and not to lose hope when we face setbacks while striving towards our goals. \n Affirmations also play a crucial role in strengthening our willpower",,,"[{""DisplayOrder"":1,""QnaId"":363,""DisplayText"":""Example of role model and their affirmations""}]",362,FALSE,TRUE
Example of a role model and their affirmations,"An example of a role model is Friedrich Nietzsche  who was a German philosopher, cultural critic, and poet.\n His affirmations included ""What does not kill me makes me stronger.""",,,"[{""DisplayOrder"":1,""QnaId"":364,""DisplayText"":""Exercise 21""}]",363,FALSE,TRUE
exercise 21,"For Exercise 21, make a list of affirmations from people you admire and choose the top three that resonate with you. Spend at least three minutes reading and repeating them slowly aloud for inspiration.",,,"[{""DisplayOrder"":1,""QnaId"":365,""DisplayText"":""Next""}]",364,FALSE,TRUE
Homework,"Congratulation on completing the full course!  \n If you keep practicing SAT, integrating the exercises into your daily routine, these temporary periods become  increasingly shorter and less painful. \n Remember that you can always revise the lessons or exercises by saying the keywords such as ""attachment theory"" or ""exercise 7"". \n We wil leave you with five cognitive exercises which can help you in the longer term to understand yourself better and empower you to excel yourself more. \n You will likely be able to get the necessary insights about these exercises when you have practiced SAT for some more months. \n Therefore, they are presented not necessarily for immediate practice but as long- term self-reflection and exercise. ",,Editorial,"[{""DisplayOrder"":1,""QnaId"":215,""DisplayText"":""getting your feedback""}, {""DisplayOrder"":2,""QnaId"":366,""DisplayText"":""learn appendix exercises""}]",365,TRUE,TRUE
exercise 22,"Exercise 22 is on using laughter to come to terms with a tragedy \n After the initial assimilation of a tragedy, no doubt with an upsurge in negative emotions. Friedrich Nietzsche wished all people he cared for severe suffering and desolation, which is a very funny thing to do. \n He said: “To those human beings who are of any concern to me I wish suffering, desolation, sickness, ill-treatment, indignities. I wish that they should not remain unfamiliar with profound self-contempt, the torture of self-mistrust, the wretchedness of the vanquished: I have no pity for them, because I wish them the only thing that can prove today, whether one is worth anything or not: that one endures.”  \n So, thinking about your tragedy recite this quotation aloud and as soon as you reach the words: “I wish suffering, desolation, sickness, ill-treatment, …..”, start laughing and continue to laugh as you read out the whole quotation. ",,,"[{""DisplayOrder"":1,""QnaId"":367,""DisplayText"":""Exercise 23""}]",366,FALSE,TRUE
exercise 23,"Our internal working model (IWM) is a subconscious framework we learned from our early environment to interpret social interactions and take action, often learned from our early environment and primary caregivers. \n In Exercise 23, we try to become gradually aware of your IWM and the influence of your primary care-givers and early environment. \n Start to make adjustments in these interpretations to create more optimal consciously chosen pattern of behavior that correspond to your emotional growth.",,,"[{""DisplayOrder"":1,""QnaId"":368,""DisplayText"":""Experience of violence in childhood""}] ",367,FALSE,TRUE
Experience of violence in childhood,"The experience of violence in childhood can lead to the development of the trauma triangle.\n We subconsciously develop an internal aggressor. \n Following the pattern of the aggressor, we also subconsciously develop an internal persecutor.\n With the experience of extreme violence in childhood the pattern of ‚ ""victim"" ‚ ""rescuer"" and ""internal persecutor"" takes shape in us and in turn leads to narcissism and the suppression of creativity.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":369,""DisplayText"":""trauma triangle""}]",368,FALSE,TRUE
Trauma triangle,"The experience of violence in childhood can lead to the development of the trauma triangle.\n We subconsciously develop an internal aggressor. \n Following the pattern of the aggressor, we also subconsciously develop an internal persecutor.\n With the experience of extreme violence in childhood the pattern of ‚ ""victim"" ‚ ""rescuer"" and ""internal persecutor"" takes shape in us and in turn leads to narcissism and the suppression of creativity.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":370,""DisplayText"":""Next""}]",369,FALSE,TRUE
Next,"Internal persecutor hinders creativity. \n The trauma triangle does four things against creativity: \n 1.  It subconsciously draws us to situations like our initial trauma.\n 2.  In times of stress, the internal persecutor internalizes negative thoughts and emotions and awakens our sense of being a ‚ ""victim""‚ such as in chronic depression, anxiety, perfectionism and nail-biting.\n 3.  When faced with a crisis in a personal relationship, we project our internal persecutor onto the other person and like a victimized child, we see them as a new aggressor. With a sense of narcissism and righteousness, we try to control this person and others.\n 4.  We project our internal persecutors onto political and social figures and with a black and white point of view, we blame them for all our problems.\n It also reinforces several types of extreme and unhelpful thought patterns such as : \n Black and white thinking, inability to see the grayscale and nuances.\n Paranoid thinking, routinely assuming people are set to harm us \n Catastrophizing, blowing up any problem and difficulty \n  Overgeneralizing, applying a negative experience to all possible settings.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":371,""DisplayText"":""Exercise 24""}]",370,TRUE,TRUE
exercise 24,"Exercise 24 is on recognizing and containing narcissism and the internal persecutor \n The adult becomes aware of the facets of the trauma triangle: internal persecutor, victim, and rescuer.\n The adult examines the effects of this triangle such as narcissism and lack of creativity in daily life and previous experiences.\n The adult reviews their important life experiences and their social and political points of view as an adult, with awareness of how the internal persecutor operates.\n The adult creates a list of examples from their own experiences for the four different ways the internal persecutor operates.\n The adult carefully analyzes their life experiences for examples of being drawn to trauma, being traumatized by the internal persecutor, and projecting the internal persecutor onto others.\n Based on the above, the adult re-evaluates their experiences, contains the internal persecutor and narcissism, and allows for the development of creativity.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":372,""DisplayText"":""crisis in personal relationships""}]",371,FALSE,TRUE
